,region,temp,humadity
0,서울,25.6,30
1,백령도,18.4,62
2,인천,20.8,54
3,수원,25.0,41
4,동두천,24.9,34
5,파주,25.1,39
6,강화,20.0,56
7,양평,25.5,32
8,이천,25.6,28
9,북춘천,24.6,36
10,북강릉,19.9,56
11,울릉도,16.8,77
12,속초,19.1,75
13,철원,23.9,37
14,대관령,17.9,49
15,춘천,25.7,39
16,강릉,22.7,41
17,동해,19.5,77
18,원주,23.4,36
19,영월,24.2,34
20,인제,24.3,31
21,홍천,25.4,25
22,태백,19.6,43
23,정선군,23.0,32
24,서산,23.6,49
25,청주,24.3,33
26,대전,25.1,37
27,충주,24.4,32
28,추풍령,23.0,35
29,홍성(예),24.3,46
30,제천,24.2,32
31,보은,23.7,28
32,천안,23.5,35
33,보령,21.4,56
34,부여,23.9,37
35,금산,23.7,30
36,전주,24.9,44
37,광주,24.0,35
38,목포,22.8,51
39,여수,22.8,49
40,흑산도,19.2,93
41,군산,21.8,55
42,완도,23.2,45
43,고창,22.7,53
44,순천,22.5,40
45,진도(첨찰산),22.2,48
46,부안,22.9,44
47,임실,22.8,40
48,정읍,23.8,47
49,남원,23.8,35
50,장수,22.0,33
51,고창군,23.7,48
52,영광군,22.4,40
53,순창군,23.5,38
54,보성군,23.7,34
55,강진군,24.1,33
56,장흥,25.5,33
57,해남,24.6,40
58,고흥,24.4,34
59,광양시,24.6,43
60,진도군,21.9,58
61,제주,20.7,60
62,고산,19.1,74
63,성산,23.1,33
64,서귀포,24.0,43
65,안동,25.0,32
66,포항,19.0,83
67,대구,25.7,31
68,울산,19.7,70
69,창원,20.6,63
70,부산,20.2,66
71,울진,17.6,84
72,상주,25.0,32
73,통영,20.0,71
74,진주,23.8,30
75,김해시,21.9,60
76,북창원,22.8,50
77,양산시,21.4,63
78,의령군,25.1,40
79,함양군,23.3,38
80,봉화,22.0,38
81,영주,23.0,36
82,문경,25.5,26
83,청송군,17.9,71
84,영덕,19.4,57
85,의성,25.7,25
86,구미,25.7,32
87,영천,21.8,47
88,경주시,23.8,49
89,거창,22.7,38
90,합천,25.1,32
91,밀양,24.7,34
92,산청,24.8,41
93,거제,23.1,57
94,남해,24.5,40
