height,weight,label
184,61,thin
189,56,thin
183,79,normal
143,40,normal
187,66,normal
161,52,normal
186,54,thin
144,57,fat
184,55,thin
165,76,fat
143,45,normal
154,61,fat
159,57,normal
177,45,thin
174,78,fat
140,80,fat
150,75,fat
141,47,normal
186,57,thin
154,83,fat
141,65,fat
178,74,normal
157,84,fat
175,56,thin
172,40,thin
170,69,normal
143,64,fat
148,68,fat
161,56,normal
176,77,normal
142,60,fat
145,41,normal
179,84,fat
164,80,fat
153,53,normal
182,45,thin
167,49,thin
168,51,thin
155,40,thin
188,51,thin
159,44,thin
173,76,fat
168,64,normal
142,51,fat
179,68,normal
145,44,normal
140,69,fat
162,77,fat
185,59,thin
174,50,thin
147,69,fat
145,41,normal
149,68,fat
157,46,normal
149,68,fat
178,55,thin
188,45,thin
151,55,normal
141,47,normal
174,60,normal
189,69,normal
140,61,fat
145,61,fat
141,66,fat
180,45,thin
180,62,normal
161,53,normal
149,41,thin
154,70,fat
166,66,normal
144,65,fat
145,47,normal
164,85,fat
159,73,fat
167,41,thin
171,47,thin
167,40,thin
185,50,thin
165,81,fat
167,62,normal
171,41,thin
157,64,fat
145,63,fat
183,48,thin
142,54,fat
149,44,normal
148,61,fat
159,63,normal
190,76,normal
184,49,thin
170,46,thin
153,69,fat
160,78,fat
166,40,thin
170,45,thin
157,50,normal
143,82,fat
171,66,normal
184,50,thin
161,67,fat
153,46,normal
157,83,fat
186,81,normal
154,70,fat
173,80,fat
156,50,normal
186,72,normal
169,62,normal
157,73,fat
176,58,normal
182,45,thin
163,68,fat
142,53,fat
168,70,normal
165,55,normal
157,40,thin
178,51,thin
160,58,normal
147,71,fat
145,54,fat
181,47,thin
190,43,thin
140,81,fat
149,49,normal
182,44,thin
142,61,fat
188,55,thin
153,59,fat
172,81,fat
166,42,thin
177,79,fat
167,62,normal
177,82,fat
155,48,normal
158,57,normal
144,42,normal
181,54,thin
160,58,normal
186,51,thin
174,72,normal
181,78,normal
170,82,fat
183,42,thin
154,42,thin
155,56,normal
182,67,normal
177,76,normal
140,50,fat
179,61,normal
168,51,thin
190,73,normal
157,64,fat
177,68,normal
150,73,fat
184,78,normal
165,56,normal
151,57,normal
162,60,normal
142,63,fat
158,80,fat
166,44,thin
159,55,normal
180,48,thin
169,85,fat
159,47,normal
152,69,fat
156,78,fat
140,68,fat
170,68,normal
168,78,fat
169,71,normal
168,66,normal
157,75,fat
157,57,normal
190,71,normal
157,41,thin
175,49,thin
172,57,normal
178,42,thin
165,68,normal
159,66,fat
171,53,thin
190,76,normal
186,53,thin
157,84,fat
144,63,fat
149,64,fat
151,72,fat
156,80,fat
189,75,normal
170,45,thin
180,57,thin
173,69,normal
161,51,normal
172,72,normal
177,41,thin
156,46,normal
168,69,normal
186,74,normal
157,63,fat
154,71,fat
180,47,thin
182,70,normal
167,71,fat
190,44,thin
143,63,fat
147,60,fat
184,66,normal
175,82,fat
163,82,fat
183,47,thin
144,46,normal
157,47,normal
143,61,fat
159,81,fat
140,73,fat
188,72,normal
184,58,thin
185,52,thin
156,65,fat
155,61,fat
169,74,fat
174,50,thin
143,70,fat
151,84,fat
141,68,fat
156,66,fat
158,59,normal
188,47,thin
166,40,thin
158,58,normal
181,61,normal
173,40,thin
163,42,thin
162,74,fat
184,80,normal
160,81,fat
178,78,normal
178,65,normal
140,74,fat
163,50,normal
182,75,normal
154,67,fat
179,66,normal
185,58,thin
176,57,thin
143,77,fat
149,55,normal
159,57,normal
184,69,normal
186,50,thin
185,73,normal
161,58,normal
175,73,normal
147,41,normal
177,52,thin
166,75,fat
173,68,normal
155,78,fat
189,75,normal
178,59,normal
156,79,fat
147,76,fat
188,45,thin
188,52,thin
174,42,thin
170,51,thin
150,49,normal
173,47,thin
155,77,fat
163,66,normal
163,74,fat
164,56,normal
179,41,thin
145,74,fat
166,57,normal
173,62,normal
154,63,fat
141,68,fat
154,47,normal
164,71,fat
151,77,fat
157,75,fat
142,85,fat
145,78,fat
141,77,fat
182,58,thin
187,74,normal
175,57,normal
167,45,thin
187,69,normal
175,58,normal
162,72,fat
176,70,normal
189,84,normal
173,74,normal
179,66,normal
141,61,fat
176,69,normal
185,75,normal
158,54,normal
177,70,normal
150,67,fat
160,64,normal
186,60,thin
185,50,thin
161,56,normal
148,58,fat
168,80,fat
144,66,fat
154,41,thin
141,75,fat
188,84,normal
144,60,fat
156,64,fat
160,63,normal
165,55,normal
179,76,normal
189,71,normal
189,83,normal
155,75,fat
147,62,fat
185,58,thin
147,50,normal
169,83,fat
178,40,thin
184,42,thin
146,47,normal
164,64,normal
178,77,normal
185,57,thin
173,49,thin
171,54,thin
146,64,fat
184,82,normal
167,72,fat
146,53,normal
176,63,normal
160,52,normal
186,85,normal
170,66,normal
189,42,thin
146,41,normal
144,77,fat
154,61,fat
188,58,thin
178,70,normal
186,54,thin
144,53,fat
143,50,normal
147,56,fat
189,79,normal
151,67,fat
155,77,fat
180,55,thin
140,81,fat
177,75,normal
153,67,fat
183,61,thin
154,79,fat
153,53,normal
163,74,fat
181,60,thin
152,41,thin
188,82,normal
150,40,thin
154,85,fat
145,79,fat
175,58,normal
157,76,fat
165,66,normal
150,62,fat
162,75,fat
163,48,thin
171,56,normal
149,47,normal
181,74,normal
176,63,normal
157,76,fat
182,57,thin
162,83,fat
155,61,fat
165,63,normal
167,64,normal
182,69,normal
182,66,normal
186,61,thin
176,66,normal
190,81,normal
173,57,normal
179,41,thin
153,80,fat
156,57,normal
162,84,fat
154,45,normal
149,64,fat
162,42,thin
146,41,normal
175,55,thin
155,69,fat
174,74,normal
155,78,fat
157,49,normal
164,77,fat
172,80,fat
168,71,fat
172,78,fat
185,59,thin
188,54,thin
165,40,thin
151,61,fat
142,76,fat
186,40,thin
150,77,fat
157,80,fat
169,61,normal
160,82,fat
167,65,normal
146,77,fat
183,64,normal
148,52,normal
185,53,thin
171,56,normal
167,60,normal
186,84,normal
165,67,normal
158,75,fat
178,75,normal
175,69,normal
184,49,thin
178,77,normal
142,47,normal
176,66,normal
182,53,thin
178,60,normal
158,41,thin
180,72,normal
152,43,normal
182,74,normal
183,62,normal
180,44,thin
165,79,fat
163,57,normal
145,52,normal
179,81,fat
152,60,fat
178,56,thin
177,83,fat
157,57,normal
159,54,normal
162,65,normal
153,56,normal
168,78,fat
188,84,normal
152,81,fat
180,54,thin
159,50,normal
148,63,fat
155,83,fat
187,56,thin
166,77,fat
155,85,fat
170,45,thin
151,69,fat
180,50,thin
178,65,normal
170,58,normal
187,58,thin
175,74,normal
185,64,normal
171,46,thin
168,52,thin
170,43,thin
188,54,thin
143,82,fat
143,84,fat
180,78,normal
183,74,normal
153,52,normal
187,73,normal
140,63,fat
160,63,normal
182,83,fat
152,77,fat
167,59,normal
168,74,fat
145,49,normal
155,80,fat
185,47,thin
190,54,thin
178,63,normal
186,47,thin
178,51,thin
155,78,fat
178,53,thin
148,84,fat
144,70,fat
152,41,thin
170,80,fat
172,58,normal
140,44,normal
181,69,normal
148,61,fat
162,76,fat
151,79,fat
185,51,thin
141,52,fat
180,43,thin
183,84,fat
142,82,fat
143,48,normal
161,62,normal
182,82,normal
157,83,fat
158,80,fat
163,66,normal
153,68,fat
186,48,thin
161,49,normal
169,84,fat
140,64,fat
183,55,thin
187,72,normal
190,71,normal
178,49,thin
152,77,fat
185,74,normal
159,54,normal
141,60,fat
173,65,normal
184,71,normal
189,45,thin
179,60,normal
155,69,fat
159,74,fat
175,64,normal
161,72,fat
190,57,thin
175,66,normal
166,62,normal
163,81,fat
164,46,thin
189,85,normal
189,74,normal
186,46,thin
164,65,normal
178,69,normal
143,48,normal
140,71,fat
155,62,fat
174,81,fat
148,69,fat
154,63,fat
180,79,normal
190,66,thin
162,41,thin
167,64,normal
173,57,normal
157,57,normal
140,44,normal
147,67,fat
140,84,fat
179,45,thin
140,66,fat
143,80,fat
189,49,thin
169,61,normal
173,55,thin
190,58,thin
185,70,normal
190,83,normal
141,48,normal
172,80,fat
150,75,fat
167,84,fat
161,71,fat
184,53,thin
165,53,normal
151,62,fat
183,66,normal
144,55,fat
154,73,fat
169,79,fat
153,61,fat
140,84,fat
174,41,thin
160,63,normal
154,73,fat
157,43,thin
146,59,fat
155,76,fat
168,72,fat
160,46,thin
173,83,fat
169,62,normal
151,41,thin
179,79,normal
183,56,thin
165,74,fat
163,53,normal
182,52,thin
165,55,normal
142,53,fat
185,70,normal
176,79,fat
169,48,thin
187,52,thin
182,58,thin
178,82,fat
190,49,thin
151,49,normal
164,56,normal
182,71,normal
163,47,thin
171,57,normal
150,72,fat
140,67,fat
176,54,thin
152,74,fat
158,67,fat
172,55,normal
190,42,thin
188,85,normal
164,84,fat
168,42,thin
179,50,thin
149,75,fat
176,42,thin
148,41,normal
181,76,normal
142,50,normal
190,44,thin
161,81,fat
180,64,normal
160,75,fat
179,59,thin
180,72,normal
165,78,fat
177,60,normal
165,60,normal
174,61,normal
156,48,normal
183,47,thin
161,82,fat
167,68,normal
171,80,fat
172,50,thin
187,75,normal
171,72,normal
141,42,normal
189,55,thin
159,72,fat
156,69,fat
168,69,normal
164,55,normal
182,48,thin
156,81,fat
152,70,fat
178,82,fat
147,68,fat
182,57,thin
157,62,fat
150,73,fat
183,69,normal
146,77,fat
168,72,fat
160,60,normal
156,47,normal
163,62,normal
187,69,normal
151,54,normal
151,44,normal
173,51,thin
171,44,thin
149,57,fat
154,76,fat
184,64,normal
151,63,fat
180,79,normal
190,45,thin
153,44,normal
180,57,thin
178,48,thin
190,63,thin
181,44,thin
187,43,thin
158,62,normal
149,84,fat
163,83,fat
149,44,normal
158,79,fat
140,71,fat
171,64,normal
182,66,normal
173,54,thin
154,46,normal
147,61,fat
172,51,thin
154,44,normal
160,46,thin
158,83,fat
189,70,normal
166,74,fat
181,81,normal
143,83,fat
168,41,thin
157,82,fat
176,54,thin
185,63,thin
159,76,fat
187,42,thin
187,56,thin
179,68,normal
183,58,thin
171,81,fat
163,65,normal
143,60,fat
180,78,normal
176,67,normal
152,72,fat
152,54,normal
180,63,normal
187,70,normal
181,85,fat
165,84,fat
177,71,normal
154,84,fat
180,71,normal
156,66,fat
141,51,fat
170,79,fat
142,77,fat
155,43,thin
160,58,normal
163,43,thin
172,45,thin
142,83,fat
143,42,normal
142,75,fat
181,41,thin
180,59,thin
159,57,normal
155,80,fat
157,53,normal
145,44,normal
146,79,fat
180,69,normal
181,80,normal
188,49,thin
184,46,thin
182,48,thin
146,41,normal
153,75,fat
159,59,normal
179,48,thin
189,48,thin
174,62,normal
143,43,normal
161,47,thin
140,85,fat
151,41,thin
157,79,fat
141,64,fat
179,62,normal
174,42,thin
172,59,normal
189,50,thin
165,53,normal
167,56,normal
186,75,normal
180,70,normal
176,84,fat
145,50,normal
187,46,thin
176,40,thin
184,81,normal
160,51,normal
154,66,fat
155,83,fat
145,68,fat
171,43,thin
146,65,fat
170,49,thin
152,53,normal
150,51,normal
147,82,fat
190,79,normal
166,51,normal
155,84,fat
186,42,thin
178,57,thin
158,85,fat
166,56,normal
177,43,thin
149,50,normal
141,61,fat
140,74,fat
160,74,fat
163,41,thin
170,64,normal
177,58,normal
151,76,fat
149,52,normal
149,63,fat
188,66,normal
160,50,normal
170,46,thin
171,52,thin
159,80,fat
146,67,fat
143,83,fat
161,71,fat
168,45,thin
186,51,thin
165,81,fat
159,62,normal
181,81,normal
147,60,fat
175,81,fat
167,70,fat
140,70,fat
140,77,fat
189,53,thin
166,48,thin
184,80,normal
142,68,fat
147,68,fat
157,78,fat
156,44,thin
159,69,fat
181,51,thin
160,69,fat
188,44,thin
169,55,normal
145,42,normal
144,74,fat
151,67,fat
190,40,thin
163,82,fat
175,66,normal
150,75,fat
147,69,fat
187,41,thin
153,49,normal
157,78,fat
183,81,normal
145,64,fat
181,44,thin
159,80,fat
141,57,fat
152,42,thin
154,80,fat
184,66,normal
146,79,fat
164,43,thin
158,69,fat
176,80,fat
172,75,fat
186,50,thin
175,46,thin
143,68,fat
147,76,fat
140,51,fat
189,63,thin
171,52,thin
189,41,thin
140,61,fat
164,84,fat
180,76,normal
157,49,normal
170,52,thin
156,53,normal
177,84,fat
142,61,fat
187,44,thin
174,84,fat
186,64,thin
172,43,thin
156,41,thin
168,58,normal
163,43,thin
158,49,normal
181,70,normal
190,57,thin
154,48,normal
186,84,normal
158,52,normal
171,82,fat
159,76,fat
185,41,thin
